Organization/Business Name ,WEBSITE
Of Moss and Flames,www.ofmossandflames.com
Off the Rails Quilting ,www.offtherailsquilting.com
Oh High Cookies,Ohhighcookies.com
Olio Oddities,https://oliooddities.square.site/
Olivia Katherine Photography,www.oliviakharding.com
On Pitch,on-pitch.com
On The Spot w/ Ryan Kolder,Www.onthespotdsm.com
ONE Dance Project,
Optimae LifeServices,https://optimaelifeservices.com/
OVR Boudoir,www.ovrboudoir.com
Palomita,Www.wearepalomita.com
Pals for Paws Petsitting,Palsforpawspetsitting.com
Paper Crane,www.papercraneic.com
"Party On, Des Moines! LLC",Partyondesmoines.com
Past Present Future Publishing,www.ppf-publishing.com
Paw Prints Pet Services of Oskaloosa,instagram.com/naturewulfe
Pearson Mental Health Therapy ,Www.Pearsonmentalhealththerapy.com
Peterson Holistic Lifestyle Medicine ,www.petersonholistic.com
PhantasIA Events LLC,Www.phantasiaevents.com
Photography By Kimberly Murphy ,www.photographybykimberlymurphy.com
PhotoSynthesis,HTTP://www.photosynthesisia.com
Pie Bird Pies,https://www.instagram.com/piebirdpies/
Pied Piper Studios,www.piedpiperstudios.org
Pies & Pastries by Lana,https://piesandpastriesbylana.com/
Pints by Beth,www.pintsbybeth.com
Piper Neumann Hair,Instagram: @piperneumannhair
Piper Psychotherapy PLC,www.piperpsychotherapy.com
Plain Talk Books & Coffee,https://raccoonforks.com/plaintalk/
Plant Life Designs,www.plantlifedesigns.com
Plant Nannies ,Www.plant-Nannies.com
Planted Wellness Spa,https://www.vagaro.com/plantedwellnessspa
"Pocket IT, LLC",https://nextdoor.com/pages/pocket-it-llc-des-moines-ia?init_source=org_pages&utm_campaign=1740739965069
Polk County Health Department,https://www.polkcountyiowa.gov/health-department/
Popinjay Press,popinjaypress.com
Poppa Nick’s Popcorn,poppanicks.com
Pour People Podcast,https://www.instagram.com/pourpeople.podcast?igsh=ajAybjJodDR2eXU3&utm_source=qr
Prairie & Flame,Www.prairieandflame.com
Prairie Home and Garden,https://www.instagram.com/p/DGjaxEPxV1O/?img_index=2&igsh=MWhvajNnZDZ5a3JjNQ==
Prairie Lights Books,https://www.prairielightsbooks.com/
Prairie Rose Desserts ,"www.prairierosedesserts.com,  @prairierosedesserts"
Prairieland Herbs,Prairielandherbs.com
Premier Counseling Professionals,Www.premiercounselingprofessionals.com
Preservation ,https://shoppreservation.com/
Preservation Corps United,www.preservationcorpsunited.com
Press Coffee,www.presscoffeeco.com
Pretty Nifty LLC,https://www.facebook.com/PrettyNiftyCleaningCo/
Prickly Ash Kitchen Cooperative,https://www.pricklyash.coop/
Pride Fitness DSM,www.pridefitnessdsm.com
Pride on the Riverfront,www.btownpride.com
"Prism Therapy Solutions, LLC",prismtherapysolutions.com
"Pristine Clean, LLC ",https://m.facebook.com/pristineccompany/
Professional Contrarian,Professionalcontrarian.com
Progress Muscatine - Muscatine County LGBTQIA+ Equality Coalition,www.progressmuscatine.org www.Muscatineequalitycoalition.com 
Project Isaiah,https://linktr.ee/projectisaiah
Project Rainbow of Iowa,projectrainbowofiowa.org
Project7 Design,Www.p7design.com
Public Space One,publicspaceone.com
Pure Restore Spa,https://purerestorespa.glossgenius.com/
Purple Clover Counseling LLC,https://www.psychologytoday.com/us/therapists/cara-kayse-cedar-rapids-ia/1293281
Purple Pincushion,www.purplepincushion.shop
Raccoon Forks Trading Company,https://raccoonforks.com/raccoon-forks-trading-company/
Rachelle Little & Company,https://www.rachellelittle.com/
Rad Bonnie's Vintage ,https://www.radbonniesvintage.com/
Railroad Bill's Dining Car,https://raccoonforks.com/railroad-bills-diner/
Rainbow Restoration of South Central Iowa,www.RainbowOfSCI.com
Rainbow Wellness Chiropractic,https://rainbowwellnesschi.wixsite.com/rainbow-wellness
Raven and Magnolia,www.ravenandmagnolia.com
RAYGUN,www.raygunsite.com
RC Lawn Care,RC Lawn Care on facebook
Rebekah Photography,Www.rebekah-photography.com
Rebekah Stewart Photography,www.RebekahStewartPhotography.com 
Red Couch Counseling,www.redcouchcounselingdsm.com
Red House Remodeling ,Redhouseremodeling.com
Red Owl Tattoo,Instagram.com/redowltattoo
REG Investments LLC,https://www.instagram.com/houseoffunkdsm/
REGEN at Ruhl&Ruhl REALTORS,https://www.ruhlhomes.com/agents/regenjohnson/
Reimer Chiropractic ,
Relax'n Bodyworks,relaxn-bodyworks.square.site
Resident of Iowa,Lorihaakinson@gmail.com
Revival,
Revival Massage Studio,Revivaldsm (on instagram)
Rhythm & Pep,https://www.facebook.com/share/1A4LQDsvGa/
"Rise Therapy, LLC",https://risetherapyllc.theranest.com/home/signin?ReturnUrl=%2Fappointments%2Fview%2Ffor-02-19-2025%2Fweek
River Center Events and Catering,https://rivercenterdsm.com/
River Rose Counseling LLC,https://joanna-scott.clientsecure.me/
River to River Bakery & Pizza,https://raccoonforks.com/rivertoriverbakery/
Riverdogs Adventure Camp ,https://www.facebook.com/share/14mcuiNv5a/
"Robyn Harms, LMT",Robynharmslmt.com
ROC-P ,Www.Roc-P.com
Roccasecca Fitness,https://www.roccasecca.fitness
Rook Room Game Lounge & Cafe,https://www.therookroom.com
Room 1021,www.room1021.com
Room for All,www.roomforall.com
Rooted Reflections LLC ,https://www.psychologytoday.com/us/therapists/brittany-orzola-waterloo-ia/1025131
Rooted Therapy,https://www.rootedtherapyia.com/
Rooted Yoga + Fitness,rootedyogaandfitness.com
Roots & Wings Educational Services ,www.dsmrootsandwings.com 
Ross for Council,Rossforiowacity.com
Rubric Legal PLLC,www.rubriclegal.com
Running Home - Stefanie Running Anderson Real Estate Agent,https://www.facebook.com/RunningHomeDSM/
Rush Street Photography,Www.rushstreetphotography.com
Sa.Bliminal Photography,https://www.sabliminalphotography.com/
Sacred Roots Counseling PLLC,www.sacredrootscounseling.com
Safe Paws Iowa ,Safepawsia.org
Sage Collective ,
Sage Counseling And Wellness ,https://sagecounselingwellness.com/
Sage Therapeutic Massage ,https://sagetherapeuticmassage.my.canva.site/original
Salem United Methodist Church,salemchurch.life
"Samantha Busch, Travel Advisor",Instagram - Samantha Busch Travels
"Sampson Family Therapy Services, LLC",www.sampsonfamilytherapy.com
Sara Hopkins Real Estate Team,https://www.sarahopkinsrealtor.com/
Sara Johansen Photography ,www.sarajohansen.com
Scenic Route Bakery ,instagram.com/Scenicroutebakery
Schiada Events ,https://www.pjspartyrental.com/party_event_rental.html
Schnell Landscaping,"https://www.google.com/search?client=safari&sca_esv=4011b7afb12cb83c&hl=en-us&sxsrf=AHTn8zpHw3XZg1_ugOMI3midXUT6rtWspw:1740615426199&q=schnell+landscaping+llc+photos&si=APYL9bscZpjn3_6X199NmFjPBARRV0xSGKg4D2BCi30CgM2FOxKXQznyI0OkPTSXv1gSueDWsq0qft_W5KBEN4TdzOBiYXCm4rUc0jznTNySCj9kcqhySOskf3R4WB7aUSqORmgLKDALDaeAdPdtwxChMPJm35-77A%3D%3D&sa=X&ved=2ahUKEwjo0rKSyuKLAxWaJNAFHew6NYoQvsQGegQIHBAv&ictx=1&biw=414&bih=831&dpr=2#ebo=0&lpg=cid:CgIYEg%3D%3D,ik:CAoSLEFGMVFpcE5RMF9fUUxoUDRTc0R4b1FyanB5TkcyNnlSZkNMcFdPN2hYLW85"
Schoolhouse Sweets,instagram.com/schoolhouse.sweets
Second Reflection Photography LLC,https://www.facebook.com/share/1ASQSETwJh/?mibextid=wwXIfr
Select Entertainment ,
Sequel Architecture + Interiors,http://sequelarchitecture.com
Serenity Family Chiropractic ,Www.serenityfamilychiro.com
Serenity Massage & Energywork,https://www.serenitymassageandenergywork.com
Serv'd Events,https://servdevents.com
Shared Existence LLC,Www.sharedexistencellc.com
Shay Peck Photo Co.,shaypeckphotoco.com
She Lids ,https://www.facebook.com/share/1HLjz1dKdo/?mibextid=wwXIfr
Shear Attraction Hair Salon ,Shearattraction.hairsalon colfax IA
Shelby Brewer Vocal Studio,https://m.facebook.com/p/Shelby-Brewer-Vocal-studio-100054295687419/
Sherry Schneekloth Tax Service ,
ShineOn designs/More Time,Shineondesigns.com and moretimejefferson.com
Shipley Schoolhouse LLC,https://www.instagram.com/shipley_schoolhouse?igsh=Mm8zYmx1eXcyOG5x
Sidekick Coffee & Books,sidekickcoffeebooks.com
Sift n Sprinkle,Siftnsprinkle.com
Silver Linings Counseling,Www.silverliningsdsm.com
"Simplify & Organize, LLC",www.simplify-and-organize.com 
Simply Stunning Events,www.sseventsia.com
SingleSpeed Brewing Co.,https://www.singlespeedbrewing.com/
Sip N Burn liquors,https://maps.app.goo.gl/Az33amFLZEBdnekn6?g_st=com.google.maps.preview.copy
Sjc Photography ,https://sjcphotography42.mypixieset.com/
Skeffington's Formal Wear,Www.skeffingtons.com
Skin By Knight ,Www.skinbyknight.com
Slick Designs,Www.slick-designs.com
Smart Cookie LLC,http://www.facebook.com/groups/smartcookiewaukee/
Smash food trailer,https://www.facebook.com/SMASHFoodTrailer/
Snacky Mini Mart,@Snacky_Mini_Mart (Instagram)
"Snyder Strategies, LLC",www.snyderstrategies.me
Soirée Wedding Planning,soireeia.com
Solace Therapy and Consulting,https://www.solacedsm.com
Sold by Amy Meyer ,soldbyamymeyer
SOLD By Jason - RE/MAX Concepts ,https://www.facebook.com/share/18dLJ3YNqP/
Somatic Peace Therapy,Www.somaticpeacetherapy.com
Soothe,www.SootheIA.com
Soul Companion Services ,Soulcompanionservices.com
Speckled Hen Farms ,www.speckledhenfarmsiowa.com
Spirit Lady Co,www.spiritladyco.com Instagram: @spiritladyco   Facebook: Spirit Lady Co
St. Andrews Lutheran Church,https://standrewsames.org/
St. Paul’s United Methodist Church (Cedar Rapids),www.stpaulsumc.org
Stallie's Sweets,stalliessweets.com
"Starting New Chapters, LLC",StartingNewChapters.com
Steinmann Family Health Clinic,https://www.steinmannfamilyclinic.com/
"Stephanie  Pearl, Realtor",StephanieSPearl.com
Stoked,Stokeddsm.com
Storyhouse Bookpub,https://storyhousebookpub.com/
Strange Hair Studio,https://linktr.ee/strangelauren?utm_source=linktree_profile_share&ltsid=60e31dc9-c038-4ab7-95aa-27f6b6324e6e
Studio B,halliebaur.com
Studio Fusco,Instagram.com/studiofusco
Studio Osky,https://www.facebook.com/share/18qu1WESJd/?mibextid=wwXIfr
Sugar Valley Collective,https://sugarvalleycollective.com/
Sunrise Builders ,sunrisebuildersia.com
Sunset Nutrition Consulting,Instagram - stephalise_rd
Sweet Season Farm,sweetseasonfarmiowa.com
Sweet Story Photography,www.sweetstoryphoto.com
Sweet Swirls Rolled Ice Cream,sweetswirlsicecream.com
Sydney Madison Creative Videography,www.sydneymadisonvideography.com
Tactical Fitness LLC,www.tacticalfitness515.com
TalkPlay Junction,Www.talkplayjunction.org
TandemHart Design & Paperie ,TandemHart.com and TandemHartPaperie.com
TapOnIt,Www.taponit.com
Tattoos by Haley S,https://www.instagram.com/tattoos.by.haley.s?igsh=MTUxZzY2emQydjdkYw%3D%3D&utm_source=qr
Taylor Phillips Hair Stylist,@cosmotay_
Teddy’s,https://linktr.ee/DOTYZO
The 29th State,Www.iowathe29thstate.com
The Abell Baker,Www.facebook.com/theabellbaker
The Bartender’s Handshake,thebartendershandshake.com
The Breakfast Club,https://www.thebreakfastclubusa.com/
The Broom Closet,https://www.facebook.com/TheBroomCloset2014
The Broom Closet & Healing Haven South,https://www.facebook.com/juju4yousouth
The Bungalow in Winterset ,https://www.facebook.com/TheBungalowInWinterset/
The Centennial,thecentennialjefferson@gmail.com
The Cheese Shop of Des Moines,www.thecheeseshopdsm.com
The Children's Center,thechildrenscenter50129.com
THE COLLECTIVE,www.thecollectivedsm.com
The Contrary,@thecontrarydsm (instagram) 
The Cranky Mandrake LLC,Facebook.com/cranky.mandrake
The Dealt Hand,thedealthand.com
The Discerning Hoarder,https://www.instagram.com/thediscerninghoarder
The dsmSOLD Team at Keller Williams Legacy Group,dsmSOLD.com
The English Rose,WWW.Theenglishrosedsm.com
The Finch & Oak Massage Studio,https://www.massagebook.com/biz/the-finch-oak-massage-studio-
The Getup,www.getupdecorah.com
The Good Co.,www.thegoodcodsm.com
The Green Dragon Bookshop,thegreendragonbookshop.com
The Green House,www.thegreenhouseic.com
The Grey Collective ,thegreycollectivephoto.com
The Half Nelson,www.thehalfnelson.com
The Hangry Lady ,www.thehangryladyia.com
The Insomniac Bookshop,www.theinsomniacbookshop.com
The Iowa Children’s Museum,www.theicm.org
The Kissed Peach,www.thekissedpeach.com
The Le Mars Arts Center,lemarsarts.com
The Left Bank shop and gallery,Leftbankshopandgallery.org
The LiFT,"dmlift.com, @dmlift on Instagram "
The Little Book,www.thelittlebookdsm.com
The Little Rolling Pin Bakery,https://thelittlerollingpinbakery.square.site 
"The Magic Mainframe, LLC",https://github.com/the-magic-mainframe/
The Monticello Motel,www.themonticellomotel.com @themonticellomotel
The Nusser Team - Urban Acres Real Estate,https://www.facebook.com/share/1C3DHRRVPV/?mibextid=wwXIfr
The O-Zone,https://www.facebook.com/share/18R37PMqv8/
The Peerman Group ,Www.drcelinapeerman.com
The Period Collective Iowa,Instagram.com/theperiodcollectiveiowa
The Photician: Portraits & Fine Art,www.photician.com
The Pink Poppy Apothecary & Co.,Facebook @thepinkapothecary
The Project of the Quad Cities,www.tpqc.org
The Ragged Edge Art Bar and Gallery,www.myraggededge.com
The Red Door Press,www.thereddoorpress.com
The Refill Market,IG: @the.refill.market
The Satanic Temple Iowa,https://facebook.com/SatanicIowa/
The shack @ 211,https://www.facebook.com/TheShackSiouxCity/
The Shop Iowa Citu,theshopiowa
The Shuffle Couple,Www.theshufflecouple.com
The Side Garage,Thesidegarage.com
The Slow Down Coffee Co. ,Www.theslowdowndsm.com
The Slow Era,theslowera.com
The Spark Movement,The-SparkMovement.com
The Studio ,Thestudiojefferson.com
The Tea Tramp,https://theteatramp.com/
The Traveling Basket,www.thetravelingbasket.com
The Webster,www.thewebsteric.com
The Wedge Pizza,thewedgepizza.com
Thistle’s Summit,Www.thistlessummit.com
"Thomas Savage, LMT",https://www.facebook.com/profile.php?id=61571973931270
Three Pines Farm,www.threepinesfarm.org
Thrive Counseling Center,www.thriveccankeny.com
"Thrive Counseling of the Quad Cities, PLLC. ",www.thrivecounselingqc.com
TNT Woodworking,https://www.facebook.com/tntwoodworking/
Tom Stender-Custer REALTOR®,www.lovewhereyouliveIOWA.com
Tranquil Harmony Tea ,https://tranquilharmonytea.com/
Troutleaf Native Plants,Troutleaf.com
Trt Studios LLP/One Guard IT,www.oneguardit.com
Tru Balance Bodywork ,https://www.trubalancebodywork.com/
True Haven Health,www.truehavenhealth.com
True Path Reiki & Tarot,https://Facebook.com/TamiJReiki
Trumpet Blossom Cafe ,trumpetblossom.com
Tura Lura Co,www.turaluraco.com
U.S. Daily Examiner,daily examiner.con
Ung Financial Services ,Ungfinancialservices.com
Unhinged Floral Co. ,www.unhingedfloral.com
Unitarian Universalist Fellowship of Ames,www.uufames.org 
Uptown Garage Brewing Company,UptownGarageBrewing.com
Val Air Ballroom,https://www.valairballroom.com/
Vanity & Glamour Cosmetics ,vgcosmetics.com
Viacore Solutions,Facebook
Vibin' Skin Spa,vibinskinspa.com
Victoria Lynn Imagery,www.facebook.com/victorialynnimagery
Viet Enterprises,www.bigcreekgrowth.com
Violet Lane Florals ,www.violetlaneflorals.com
Vital Skin Spa,Www.vitalskinspa.com
vIVid Life Spa,www.vividlifespa.com
vIVid Wellness + Aesthetics,vividwellnesslounge.com
VZZ Vintage,www.instagram.com/vzzvintage
Wake Up Iowa Coffee,wakeupiowacoffee.com
Walnut Hills UMC,Whumc.org
Wander Women Midwest,
Wanderer's Haul,www.wanderershaul.com
Wandering Raccoon Books,https://wanderingraccoonbooks.com/
Warm Wishes,Warmwishesfromiowa.com
Warren Hill Farm,https://www.facebook.com/warrenhillfarms
Warrior Lanes ,Warriorlanes.com
Wedding Choice Awards,weddingchoiceawards.com
Wedding Show Productions,
Weddings By Design,Weddingsbydesigndm.com
"Wellspring Wellness, LLC",http://www wellspringwellness.com
West Des Moines United Methodist Church,www.wdmumc.org
White Willow Events,www.whitewilloweventsia.com
"Wildcat Investments, LLC",SportClips.com/ia102
Wildflower ,
Willow on Grand ,https://willowongrand.com/
"Wilson Counseling Services, LLC",Www.sw-counseling.com
"With Love, Libby",Withlovelibby.com
Wooly's,https://www.woolysdm.com/
Words Worth Repeating,www.wordsworthrepeating.com
Yonderbound,yonderbound.co
Yost Family Chiropractic,www.yostfamilychiropractic.com
Yotopia Frozen Yogurt,www.yotopiafroyo.com
"Your Clear Next Step, LLC",www.yourclearnextstep.com
Zanzibar's Coffee Adventure,www.zanzibarscoffee.com
Zeno’s,http://www.zenosrestaurant.com/
ZHOOSH,www.zhooshdsm.com
Zion United Church of Christ,http://zionuccburlington.org/
"Bio::Neos, Inc.",Https://Bioneos.com
Prairie Flower Children's Center,prairieflowercc.org
Grace United Methodist Church,gracedesmoines.org
Midday Moon Macrame,https://middaymoonmacrame.etsy.com/
"TJAM Construction, LLC",Find us on Facebook
Lachele’s North,Lachelesfinefoods.com
